ID,Language_ID,Headword,Part_Of_Speech,Derivational_Root,Irregular_Plural,Irregular_Possessed_Form,Literal_Meaning,Loanword_Source,Main_Entry,Middle_Form,Pronunciation,Root,Semantics_Note,Variant_Form
LX001800,iqu,maaya iikuútaaja,noun,,,,,,,,,maaya iikuútaaja,,
LX001801,iqu,maayaakáani,intransitive verb,,,,,,,,,maayaaka,,
maayaarika,iqu,maayaarika,noun,,mɨrajaarika,,,,,,,maayaarika,,
LX001802,iqu,maayaasíini,intransitive verb,,,,,,,,,maayaási,,
LX001803,iqu,maayaasíini,noun,,,,,,,,,maayaasíini,,
LX001804,iqu,maayaasíini,ambitransitive verb,,,,,,,,,maayaási,,
LX001805,iqu,maayaásiitáani,transitive verb,,,,,,,,,maayaásiita,,
LX001806,iqu,maayitɨ́ɨsi,noun,,,,,,,,,maayitɨ́ɨsi,,
LX001807,iqu,maayitɨ́ɨsi,noun,,maayitɨɨ́siwaaka,,,,,,,maayitɨ́ɨsi,,
LX001808,iqu,minákana,noun,,,,,,LX000110,,,minákana,,
LX001809,iqu,minakíisi,noun,,,,,,LX000111,,,minakíisi,,
minana,iqu,minana,adjective,,,,,,,,,mina,,
minati,iqu,minati,noun,,"miinari, minatika, minatiwa",,,,,,,minati,,
LX001810,iqu,minati aniáasi,noun,,,,pineapple tail,,,,,minati aniáasi,,
LX001811,iqu,minati nɨɨti,noun,,,,pineapple tongue,,,,,minati nɨɨti,,
minatikajina,iqu,minatikajina,locative noun,,,,,,miinajina,,,minatikajina,,
LX001812,iqu,minikáani,transitive verb,,,,,,,minikɨ́ɨni (middle),,minika,,
LX001813,iqu,minikɨɨkɨ́ɨni,intransitive verb,,,,,,,,,minikɨɨ́kɨɨ,,
LX001814,iqu,minikɨ́ɨni,intransitive verb,,,,,,,minikáani (active),,minikɨ,,
LX001815,iqu,minitáani,transitive verb,,,,,,,,minta,minita,,
LX001816,iqu,minkáatu,noun,,,,,from Sp. ‘mingado’,,,,minkáatu,,
LX001817,iqu,mírija,noun,,,,,,LX001818,,,mírija,,
LX001818,iqu,miríjaaja,noun,,,,,,,,,miríjaaja,,personal variant (ELY): mírija
LX001819,iqu,miriyáani,transitive verb,miríya,,,,,,,,miriíka,,
LX001820,iqu,mírii,noun,,míriiwa,,,,,,,mírii,,
LX001821,iqu,Míriiyúumu,proper noun,,,,‘sirena shimbillo’ creek,,,,,Míriiyúumu,,
LX001822,iqu,mísiaa,noun,,mísiaariwa,,,,,,,mísiaa,,Free Variant: ruupúuna
LX001823,iqu,Mitáyakana,proper noun,,,,,,,,,Mitáyakana,,
LX001824,iqu,miyajáana,noun,,,,,,,,,miyajáana,,personal variant (HDC): mɨyajáana
LX001825,iqu,miyɨɨ́kɨɨri,noun,,miyɨɨ́kɨɨriwa,,,,,,,miyɨɨ́kɨɨri,,
LX001826,iqu,míyɨɨri,noun,,míyɨɨriwa,,,,LX001909,,,míyɨɨri,,
miinajina,iqu,miinajina,locative noun,,miinarijina,,,,,,,miinajina,,Free Variant: minatikajina
miinari,iqu,miinari,noun,,,,,,minati,,,miinari,,
LX001827,iqu,míini,noun,,,,,,,,,míini,,
LX001828,iqu,míini,transitive verb,,,,,,,,,mii,,
LX001829,iqu,míini,transitive verb,,,,,,,,,mii,,
LX001830,iqu,míini,transitive verb,,,,,,,,,mii,,
LX001831,iqu,miíniti kánɨɨsi,noun,,,,,,,,miínti kánɨɨsi,miíniti kánɨɨsi,,
LX001832,iqu,míinka,noun,,míinkaka (note no tone shift),,,from Sp. ‘minga’,,,,míinka,,
LX001833,iqu,míira,noun,,,,,from Sp. ‘miel’,,,,míira,,
LX001834,iqu,miíriyati,noun,,"miíriyatiwa, miíriyatika",,,,,,,miíriyati,,dialect variant: miíriyaaja
LX001835,iqu,miíriyaaja,noun,,,,,,LX001834,,,miíriyaaja,,
LX001836,iqu,miísana,noun,,miísami (inanimate),,,,,,,miísana,,
LX001837,iqu,míisi,noun,,,,,from Q. ‘mishi’,,,,míisi,,
LX001838,iqu,míisi jíina,noun,,,,cat penis,calque of Q. ‘mishi uyiyu’,,,,míisi jíina,,
miiti,iqu,miiti,noun,,"miitiwa, miitika",,,,,,,miiti,,Free Variant: maraniuu
LX001839,iqu,miitɨ́ɨni,ditransitive verb,,,,,,,,,miitɨɨ,,
LX001840,iqu,mɨjika,noun,,,,,,,,,mɨjika,,
LX001841,iqu,mɨjɨráani,intransitive verb,mɨjɨ́ra,,,,,,,,mɨ́jɨɨta,,
LX001842,iqu,mɨjɨráani,intransitive verb,,,,,,,,,mɨ́jɨɨta,,
LX001843,iqu,mɨjɨ́ɨni,intransitive verb,,,,,,,,,mɨjɨ,,
LX001844,iqu,mɨ́jɨɨtáana,noun,,mɨ́jɨɨtáapɨ,,,,,,,mɨ́jɨɨtáana,,
LX001845,iqu,mɨ́nɨna,noun,,,,,,,,,mɨ́nɨna,,
LX001846,iqu,mɨ́nɨɨkɨɨtáani,intransitive verb,,,,,,,,,mɨ́nɨɨkɨɨ́ta,,
LX001847,iqu,mɨnɨ́ɨni,intransitive verb,mɨ́nɨ,,,,,,,,mɨɨ́nɨ,,
LX001848,iqu,mɨ́nɨɨtáani,intransitive verb,,,,,,,,,mɨ́nɨɨta,,
LX001849,iqu,mɨra,noun,,,,,,maaya,,,mɨra,,
LX001850,iqu,mɨrajaarika,noun,,,,,,,,,mɨrajaarika,,
LX001851,iqu,mɨ́riija,noun,,,,,,,,,mɨ́riija,,
LX001852,iqu,mɨrɨ́ɨni,intransitive verb,,,,,,,mɨrɨ́ɨni (active),,mɨ́rɨɨ,,
LX001853,iqu,mɨrɨ́ɨni,transitive verb,,,,,,LX001693,mɨrɨ́ɨni (middle),,mɨ́rɨɨ,,
LX001854,iqu,mɨsiáani,noun,,,,,,,,,mɨsiáani,,
LX001855,iqu,mɨtáani,transitive verb,,,,,,,,,mɨta,,personal variant (ELY): matáani
LX001856,iqu,mɨtáani,transitive verb,,,,,,LX000967,,,mɨta,,
LX001857,iqu,mɨtíkiri,noun,,mɨtíkiriwa,,,,,,,mɨtíkiri,,
LX001858,iqu,mɨtiija,noun,,mɨtiiya,,,,,,,mɨtiija,,
LX001859,iqu,mɨtiijákana,noun,,mɨtiijákiaakɨ,,,,,,,mɨtiijákana,,
LX001860,iqu,mɨtiiya,noun,,,,,,LX001858,,,mɨtiiya,,
LX001861,iqu,mɨtɨni,noun,,,,,,,,,mɨtɨni,,
LX001862,iqu,mɨtɨ́ɨni,intransitive verb,,,,,,,,,mɨtɨ,,
LX001863,iqu,mɨyajáana,noun,,,,,,LX001824,,,mɨyajáana,,
LX001864,iqu,mɨ́yaki,noun,,mɨyákiwa,,,,LX003057,,,mɨ́yaki,,
LX001865,iqu,mɨ́yaaja,noun,,,,,,,,,mɨ́yaaja,,
LX001866,iqu,mɨyáaku,noun,,,,,,,,,mɨyáaku,,
LX001867,iqu,mɨyaakúuni,intransitive verb,,,,,,,,,mɨyaákuu,,
LX001868,iqu,mɨyaara,noun,,mɨyaaraa,,,,,,,mɨyaara,,
LX001869,iqu,mɨyaara aniaásiija,noun,,,,wild cat's tail,,,,,mɨyaara aniaásiija,,
LX001870,iqu,mɨyaara jíina,noun,,mɨyaara jiínaka,,dog penis,,,,,mɨyaara jíina,,Free Variant: mɨyaara jiínaari
LX001871,iqu,mɨyaara jiínaari,noun,,mɨyaara jiínaariwa,,,,LX001870,,,mɨyaara jiínaari,,
LX001872,iqu,mɨyaara júuti,noun,,"mɨyaara juútika, mɨyaara juútiwa",,jaguar Rufescent Tiger Heron,,,,,mɨyaara júuti,,Free Variant: júuti
LX001873,iqu,mɨyaara saapi,noun,,,,jaguar stingray,,,,,mɨyaara saapi,,
LX001874,iqu,mɨyaara titikaaríina,noun,,,,jaguar's paw,,,,,mɨyaara titikaaríina,,
LX001875,iqu,mɨyaaraa,noun,,,,,,LX001868,,,mɨyaaraa,,
LX001876,iqu,Mɨyaaráamu,proper noun,,,,jaguar creek,,,,,Mɨyaaráamu,,
LX001877,iqu,mɨyikáani,transitive verb,,,,,,,mɨyɨkɨ́ɨni (middle),,mɨyika,,
LX001878,iqu,mɨyiti,noun,,,,,,,,,mɨyiti,,
LX001879,iqu,mɨyitina,noun,,,,,,,,,mɨyitina,,
LX001880,iqu,mɨyitíini,intransitive verb,,,,,,,,,mɨyiti,,
LX001881,iqu,mɨyɨkɨ́ɨni,intransitive verb,,,,,,,mɨyikáani (active),,mɨyɨ́kɨ,,
LX001882,iqu,mɨ́yuujáana,noun,,,,,,LX001951,,,mɨ́yuujáana,,
LX001883,iqu,mɨɨja,noun,,,,,,,,,mɨɨja,,
LX001884,iqu,mɨɨja jikuriáaka,noun,,,,hummingbird's manioc beer stew,,,,,mɨɨja jikuriáaka,,
LX001885,iqu,mɨɨka,noun,,,,,,,,,mɨɨka,,
LX001886,iqu,mɨɨ́mɨɨti,noun,,mɨɨ́mɨɨtiwa,,,,,,,mɨɨ́mɨɨti,,
LX001887,iqu,mɨɨ́naka,noun,,,,,,,,,mɨɨ́naka,,
LX001888,iqu,mɨɨ́nana,adjective,,,,,,,,,mɨɨ́na,,Chambira dialect: sapatina
LX001889,iqu,mɨɨ́nana amáriiki,noun,,mɨɨ́nana amáriikiwa,,black ‘zúngaro’,,,,,mɨɨ́nana amáriiki,,Chambira dialect: sapatiki1
LX001890,iqu,mɨɨ́nana isíiku,noun,,,,,,,,,mɨɨ́nana isíiku,,
LX001891,iqu,mɨɨ́nana siirɨ,noun,,mɨɨ́nana siirɨwa,,black caiman,,,,,mɨɨ́nana siirɨ,,
LX001892,iqu,mɨ́ɨni,transitive verb,,,,,,,,,mɨɨ,,
LX001893,iqu,mɨɨniáaja,noun,,,,,,,,,mɨɨniáaja,,
LX001894,iqu,Mɨɨniikáani,proper noun,,,,,,,,,Mɨɨniikáani,,
LX001895,iqu,mɨɨnɨɨ,noun,,mɨɨnɨ́ɨwa,,,,,,,mɨɨnɨɨ,,
LX001896,iqu,mɨɨnɨɨ siriija,noun,,,,Brown Capuchin bird,,,,,mɨɨnɨɨ siriija,,
LX001897,iqu,mɨɨ́ratáani,ambitransitive verb,,,,,,,,mɨɨ́rta,mɨɨ́rata,,
LX001898,iqu,mɨɨ́riaaka,noun,,,,,,,,,mɨɨ́riaaka,,
LX001899,iqu,mɨɨ́riaaka,noun,,,,,,LX002646,,,mɨɨ́riaaka,,
LX001900,iqu,mɨɨsaji,noun,,iitimɨra,,,,,,,mɨɨsaji,,
LX001901,iqu,mɨɨsaji jɨɨyɨ,noun,,mɨɨsaji jɨɨyɨwaaka,,,,,,,mɨɨsaji jɨɨyɨ,,
LX001902,iqu,mɨɨsájiikáani,noun,,,,,,,,,mɨɨsájiikáani,,
LX001903,iqu,mɨɨ́saka,noun,,,,,,,,,mɨɨ́saka,,
LX001904,iqu,mɨɨ́saka ariyajáana,noun,,,,Mouse Oppossum testicle,,,,,mɨɨ́saka ariyajáana,,
LX001905,iqu,mɨɨ́saa,noun,,,,,,LX001652,,,mɨɨ́saa,,
LX001906,iqu,mɨɨsiáaku,noun,,,,,,,,,mɨɨsiáaku,,
LX001907,iqu,mɨɨ́sɨɨya,noun,,,,,,LX001908,,,mɨɨ́sɨɨya,,
LX001908,iqu,mɨɨ́sɨɨyɨ,noun,,mɨɨ́sɨɨyɨwa,,,,,,,mɨɨ́sɨɨyɨ,,personal variant (ELY): mɨɨ́sɨɨya
LX001909,iqu,mɨɨtáari,noun,,,,,,,,,mɨɨtáari,,Nanay dialect: míyɨɨri
mujari,iqu,mujari,noun,,mujariwa,,,,,,,mujari,,Nanay dialect: mujaríini
LX001910,iqu,Mujariyúumu,proper noun,,,,worm creek,,,,,Mujariyúumu,,
LX001911,iqu,mujaríini,noun,,mujariíniwa,,,,mujari,,,mujaríini,,
mujinana,iqu,mujinana,noun,,,,,,,,,mujinana,,
LX001912,iqu,mukúraasi,noun,,,,,,LX002810,,,mukúraasi,,
LX001913,iqu,mukúuni,intransitive verb,,,,,,,,,muku,,
LX001914,iqu,múkuuti,noun,,,,,,,,,múkuuti,,
LX001915,iqu,múkuutiríkana,noun,,múkuutiríkiaakɨ,,Blue Morpho Butterfly manioc,,,,,múkuutiríkana,,
LX001916,iqu,múkuutiríkiaakɨ,noun,,,,,,LX001915,,,múkuutiríkiaakɨ,,
LX001917,iqu,mukwájatina,adjective,,,,,,,,,mukwájati,,
mukwana,iqu,mukwana,adjective,,,,,,,,,mukwa,,
mukwani,iqu,mukwani,noun,,"mukwaka, mukwaniwa",,,,,,,mukwani,,
LX001918,iqu,mukwatáani,intransitive verb,,,,,,,,,mukwata,,
LX001919,iqu,muníini,transitive verb,múni,,,,,,,,muúni,,
LX001920,iqu,murajúuni,intransitive verb,,,,,,,,,murájuu,,
LX001921,iqu,murákati,noun,,,,,,,,,murákati,,
LX001922,iqu,murákatiiri,noun,,murákatiiriwa,,,,LX003163,,,murákatiiri,,
LX001923,iqu,muráani,intransitive verb,mura,,,,,,,,muuta,,
LX001924,iqu,muráani,transitive verb,,,,,,,,,muuta,,
LX001925,iqu,múrina,noun,,,,,,,,,múrina,,
LX001926,iqu,muriyuujátina,adjective,,,,,,LX002392,,,muriyuujáti,,
LX001927,iqu,muríyuukwáani,intransitive verb,,,,,,,,,muríyuukwa,,
LX001928,iqu,muriyúuni,intransitive verb,,,,,,,,,muríyuu,,
LX001929,iqu,murɨtɨ́ɨni,intransitive verb,,,,,,,murutáani (active),múrtɨ,murɨ́tɨ,,
LX001930,iqu,murutáani,transitive verb,,,,,,,murɨtɨ́ɨni (middle),múrta,murúta,,
LX001931,iqu,muruwɨ́ɨra,noun,,,,,,,,,muruwɨ́ɨra,,
LX001932,iqu,murúuni,noun,,,,,,,,,murúuni,,
LX001933,iqu,murúuni,intransitive verb,,múru,,,,,,,muútɨ,,
LX001934,iqu,murúunku,noun,,,,,,,,,murúunku,,
LX001935,iqu,músati,noun,,,,,,,,,músati,,
LX001936,iqu,músati,noun,,,,,,,,,músati,,
LX001937,iqu,musaamɨ,noun,,musaamɨya,,,,,,,musaamɨ,,
musaasi,iqu,musaasi,noun,,,,,,,,,musaasi,,
LX001938,iqu,músiaaki,noun,,músiaakiwa,,,,arasaaki,,,músiaaki,,sociolinguistic variant: amúsiaaki
LX001939,iqu,músiaaki takíina,noun,,,,‘punchana’ stick,,,,,músiaaki takíina,,
LX001940,iqu,musíyuukwáani,intransitive verb,,,,,,,,,musíyuukwa,,
LX001941,iqu,musíini,intransitive verb,musi,,,,,,,,muusi,,
LX001942,iqu,musútina,adjective,,,,,,,,,musúti,,
LX001943,iqu,musútina aasi,noun,,,,white rain,,,,,musútina aasi,,
LX001944,iqu,musútina isíiku,noun,,,,,,LX001664,,,musútina isíiku,,
LX001945,iqu,musútina katija,noun,,,,white sweet potato,,,,,musútina katija,,
LX001946,iqu,musútina káarsa,noun,,,,white egret,from Sp. ‘garza blanca’,,,,musútina káarsa,,
LX001947,iqu,musútina siirɨ,noun,,musútina siirɨwa,,white caiman,,,,,musútina siirɨ,,Free Variant: taasíita siirɨ
LX001948,iqu,Musutiriíkwaa,proper noun,,,,,,,,,Musutiriíkwaa,,
muturuniika,iqu,muturuniika,noun,,muturuniikapɨ,,,,,,muturniika,muturuniika,,
muwanaaja,iqu,muwanaaja,noun,,,,,,,,,muwanaaja,,
muwaasi,iqu,muwaasi,noun,,,,,,,,,muwaasi,,dialect variant: tuwiina ; Free Variant: tasiina2
LX001949,iqu,muwɨ́ɨna,noun,,,,,,,,,muwɨ́ɨna,,
LX001950,iqu,muyújuni,noun,,,,,,,,,muyújuni,,
LX001951,iqu,múyuujáana,noun,,,,,,,,,múyuujáana,,personal variant (HDC): mɨ́yuujáana
LX001952,iqu,muyúuni,intransitive verb,,,,,,,,,muyuu,,
LX001953,iqu,muyuunɨ́ɨni,intransitive verb,,,,,,,,,muyuunɨɨ,,
muyuuri,iqu,muyuuri,noun,,muyuuriwa,,,,,,,muyuuri,,dialect variant: iyúuri
LX001954,iqu,muyuutakwáani,intransitive verb,,,,,,,,,muyuútakwaa,,
LX001955,iqu,muujináana,noun,,,,,,,,,muujináana,,
LX001956,iqu,muujináana,noun,,,,,,,,,muujináana,,
LX001957,iqu,muújinaapɨ,noun,,,,,,,,,muújinaapɨ,,
LX001958,iqu,muújinaapɨ júnɨɨna,noun,,,,merpeople smell,,,,,muújinaapɨ júnɨɨna,,
LX001959,iqu,muukúruuja,noun,,,,,,,,,muukúruuja,,
LX001960,iqu,muúkuya,noun,,,,,,,,,muúkuya,,
LX001961,iqu,muúkwanasi,noun,,,,,,,,,muúkwanasi,,
LX001962,iqu,muúkwaaya,noun,,,,,,LX001963,,,muúkwaaya,,
LX001963,iqu,muúkwaayɨ,noun,,"muúkwaayɨka, muúkwaayɨwa",,,,,,,muúkwaayɨ,,personal variant (JPI): muúkwaaya
LX001964,iqu,muúkwaayɨ ítuuja,noun,,,,rainbow burn,,,,,muúkwaayɨ ítuuja,,
LX001965,iqu,muúkwaayɨ iísaaka,noun,,,,rainbow urine,,,,,muúkwaayɨ iísaaka,,
LX001966,iqu,muúkwaayɨ naamɨ,noun,,muúkwaayɨ naamɨya,,rainbow leaf,,,,,muúkwaayɨ naamɨ,,Free Variant: waka nɨɨti
LX001967,iqu,Muumúumu,proper noun,,,,,,,,,Muumúumu,,
LX001968,iqu,muúniimɨ,noun,,muúniimɨya,,,,,,,muúniimɨ,,
LX001969,iqu,muunúuni,transitive verb,,,,,,,,,muúnuu,,
LX001970,iqu,muúruwa,noun,,,,,,,,,muúruwa,,
LX001971,iqu,muúruuki,noun,,"muúruuwa, muúruukiwa",,,,,,,muúruuki,,
LX001972,iqu,muusajákwaa,noun,,muusajákwaapɨ,,,,,,,muusajákwaa,,
LX001973,iqu,muusajákwaa aarɨwati,noun,,,,‘ungurahui’ grub palm weevil,,,,,muusajákwaa aarɨwati,,
LX001974,iqu,muusajákwaapɨ,noun,,,,,,LX001972,,,muusajákwaapɨ,,
LX001975,iqu,muúsaka,noun,,,,,,,,,muúsaka,,
LX001976,iqu,muúsana,adjective,,,,,,,,,muúsa,,
LX001977,iqu,muusaníkwaa,noun,,,,,,,,,muusaníkwaa,,
LX001978,iqu,muúsaniika,noun,,,,,,,,,muúsaniika,,
LX001979,iqu,muusayúuna,noun,,,,,,,,,muusayúuna,,personal variant (HDC): muusáyuuti
LX001980,iqu,muusáyuuti,noun,,,,,,LX001979,,,muusáyuuti,,
LX001981,iqu,muúsaari,noun,,muúsaariwa,,,,,,,muúsaari,,
muusi,iqu,muusi,noun,,,,,,,,,muusi,,
LX001982,iqu,muusiaaráaja,noun,,,,,,LX001691,,,muusiaaráaja,,
LX001983,iqu,múuta,noun,,,,,,,,,múuta,,
muuti,iqu,muuti,noun,,,,,,,,,muuti,,
LX001984,iqu,muuti asúraaja,noun,,,,Black Agouti manioc,,LX002571,,,muuti asúraaja,,
LX001985,iqu,muuti asúwaja,noun,,,,Black Agouti ‘bujurqui amarillo’,,,,,muuti asúwaja,,
LX001986,iqu,muuti áwasi,noun,,,,Black Agouti finger,,,,,muuti áwasi,,
LX001987,iqu,muuti iíkiaaja,noun,,,,Black Agouti feces,,,,,muuti iíkiaaja,,
muuti_jiniija,iqu,muuti jiniija,noun,,muuti jiniijaka,,rubbing of Black Agouti,,muuti_jiniiri,,,muuti jiniija,,
muuti_jiniiri,iqu,muuti jiniiri,noun,,"muuti jiniiriwa, muuti jiniirika",,rubbing of Black Agouti,,,,,muuti jiniiri,,Free Variant: muuti jiniija
LX001988,iqu,muuti mɨyaara,noun,,muuti mɨyaaraa,,Black Agouti wild cat,,,,,muuti mɨyaara,,
muuti_siriija,iqu,muuti siriija,noun,,,,Black Agouti bird,,,,,muuti siriija,,
LX001989,iqu,muutíina,noun,,,,,,,,,muutíina,,
LX001990,iqu,muúturuna,adjective,,,,,,,,,muúturu,,
LX001991,iqu,na=,pronoun,,,,,,,,,na,,
LX001992,iqu,na=,pronoun,,,,,,,,,na,,
LX001993,iqu,najaápusa,noun,,,,,,LX001994,,,najaápusa,,
LX001994,iqu,najaápusɨ,noun,,"najaápusɨwaaka, najaápusuuka",,,,,,,najaápusɨ,,personal variant (ELY): najaápusa
LX001995,iqu,najaápusuuka,noun,,,,,,LX001994,,,najaápusuuka,,
naji,iqu,naji,noun,,,,,,aji,,,naji,,
najika,iqu,najika,noun,,,,,,,,,najika,,
LX001996,iqu,nájika,noun,,,,,,LX000020,,,nájika,,
LX001997,iqu,najika nuútima,noun,,,,nose base,,,,,najika nuútima,,
LX001998,iqu,najiwáaku,noun,,najiwaaraa,,,,,,,najiwáaku,,
najiwaaraa,iqu,najiwaaraa,noun,,,,,,LX001998,,,najiwaaraa,,
LX001999,iqu,najiwɨ́niikíini,intransitive verb,,,,,,,,,najiwɨ́niiki,,
LX002000,iqu,najiwɨ́ɨni,transitive verb,,,,,,,,,najíwɨɨ,,
LX002001,iqu,nájuukwaasi,noun,,,,,,LX000033,,,nájuukwaasi,,
LX002002,iqu,nakájinaku,locative noun,,,,,,LX000035,,,nakájinaku,,
LX002003,iqu,nakájinakuúraji,noun,,,,,,LX000039,,,nakájinakuúraji,,
LX002004,iqu,nakájinaaja,noun,,,,,,LX000041,,,nakájinaaja,,
LX002005,iqu,nakajiyúuki,noun,,,,,,LX000042,,,nakajiyúuki,,
LX002006,iqu,nakánataaja,noun,,,,,,LX000043,,,nakánataaja,,
LX002007,iqu,nakarɨ́ɨni,transitive verb,,,,,,,,,nakarɨɨ,,
LX002008,iqu,nakarɨ́ɨni,transitive verb,,,,,,,,,nakarɨɨ,,
LX002009,iqu,nakarɨɨ́sana,noun,,"nakarɨɨ́sami (inanimate), nakarɨɨ́sapɨ (animate)",,,,,,,nakarɨɨ́sana,,
LX002010,iqu,nakásimɨ,noun,,,,,,LX000045,,,nakásimɨ,,
LX002011,iqu,nákati,noun,,,,,,LX000049,,,nákati,,
naki_1,iqu,naki,noun,,nakiwa,,,,,,,naki,,
naki_2,iqu,naki,noun,,,,,,aki,,,naki,,
LX002012,iqu,naki imɨ́ɨka,noun,,,,forest ‘almendra’,,LX002013,,,naki imɨ́ɨka,,
LX002013,iqu,naki imɨ́ɨni,noun,,"naki imɨ́ɨya, naki imɨ́ɨka",,forest ‘madre’,,,,,naki imɨ́ɨni,,
LX002014,iqu,naki imɨ́ɨni siriija,noun,,,,forest ‘madre’ bird,,LX003053,,,naki imɨ́ɨni siriija,,
LX002015,iqu,naki páraaka,noun,,,,,,,,,naki páraaka,,
LX002016,iqu,naki páriiki,noun,,,,forest Spix's Guan,,LX002174,,,naki páriiki,,
LX002017,iqu,naki tawɨɨ́kiri,noun,,,,forest Black Fronted Nunbird,,,,,naki tawɨɨ́kiri,,
nakikuuja,iqu,nakikuuja,noun,,nakikuuya,,,,,,,nakikuuja,,
LX002018,iqu,nakikuuja ámakɨ,noun,,nakikuuja ámakɨya,,tortoise path,,LX002019,,,nakikuuja ámakɨ,,
nakikuuja_marasi,iqu,nakikuuja marasi,noun,,,,tortoise intestine,,LX002019,,,nakikuuja marasi,,
LX002019,iqu,nakikuuja maakánaaja,noun,,,,tortoise stairs,,,,,nakikuuja maakánaaja,,Free Variant: nakikuuja ámakɨ ; dialect variant: nakikuuja marasi
LX002020,iqu,nakikuuja napɨnija,noun,,nakikuuja napɨnika,,tortoise pepper,,,,,nakikuuja napɨnija,,
LX002021,iqu,nakikuuja titikaaríina,noun,,,,tortoise foot,,,,,nakikuuja titikaaríina,,
LX002022,iqu,nakikuujákana,noun,,nakikuujákiaakɨ,,tortoise manioc,,,,,nakikuujákana,,
LX002023,iqu,nakikuujákiaakɨ,noun,,,,,,LX002022,,,nakikuujákiaakɨ,,
LX002024,iqu,nakimɨ́ɨti,noun,,nakimɨɨ́tiwa,,,,,,,nakimɨ́ɨti,,
LX002025,iqu,nakiráaru,noun,,nakiraáruwa,,,,,,,nakiráaru,,
nakitaaka,iqu,nakitaaka,noun,,,,,,,,,nakitaaka,,
LX002026,iqu,nakɨ,noun,,,,,,LX000060,,,nakɨ,,
LX002027,iqu,nakújumɨ,noun,,,,,,LX000151,,,nakújumɨ,,
LX002028,iqu,nákuma,noun,,,,,,LX000066,,,nákuma,,
LX002029,iqu,nakúmari,noun,,,,,,LX000067,,,nakúmari,,
LX002030,iqu,nakúmiiti,noun,,,,,,LX000072,,,nakúmiiti,,
LX002031,iqu,nakúmɨɨsana,noun,,,,,,LX000074,,,nakúmɨɨsana,,
LX002032,iqu,nákusi,noun,,,,,,akusi,,,nákusi,,
LX002033,iqu,nakusitɨ́ɨni,ditransitive verb,,,,,,,,,nakusitɨɨ,,
nakusii,iqu,nakusii,interjection,,,,,,,,,nakusii,,
LX002034,iqu,nakusíini,noun,,,,,,,,,nakusíini,,
LX002035,iqu,nakusíini,transitive verb,,,,,,,,,nakusi,,
nakuta,iqu,nakuta,noun,,,,,,,,,nakuta,,
LX002036,iqu,nakutáani,transitive verb,,,,,,,,,nakuta,,
LX002037,iqu,nakúumi,noun,,,,,,LX000077,,,nakúumi,,
LX002038,iqu,namájata,adverb,,,,,,,,,namájata,,
LX002039,iqu,namájatina,adjective,,,,,,,,,namájati,,
LX002040,iqu,námaki,noun,,,,,,amaki,,,námaki,,
LX002041,iqu,namákɨjina,locative noun,,,,,,LX000080,,,namákɨjina,,
LX002042,iqu,námaku,noun,,,,,,,,,námaku,,
LX002043,iqu,=namásikaraata,postposition,,,,,,,,,namásikaraata,,personal variant (ELY): =amásikaraata
LX002044,iqu,námati,noun,,"namátikaka, namátika",,,,,,,námati,,
LX002045,iqu,namátiikɨ,noun,,,,,,,,,namátiikɨ,,
LX002046,iqu,namatiikɨ́ɨni,intransitive verb,,,,,,,,,namatiíkɨɨ,,
nami,iqu,nami,adverb,,,,,,,,,nami,,
namija_1,iqu,namija,noun,,"naamiya, namijaka",,,,,,,namija,,
namija_2,iqu,namija,noun,,,,,,,,,namija,,
LX002047,iqu,namijiíraji,locative demonstrative,,,,,,,,,namijiíraji,,
LX002048,iqu,namíjiita,locative demonstrative,,,,,,,,,namíjiita,,
LX002049,iqu,namijɨ́ɨni,intransitive verb,,,,,,,,,namíjɨɨ,,
LX002050,iqu,namíkiika,adverb,,,,,,,,,namíkiika,,
LX002051,iqu,námikɨ,noun,,namíkɨya,,,,,,,námikɨ,,
LX002052,iqu,namíkɨya,noun,,,,,,,,,namíkɨya,,
LX002053,iqu,namikɨ́ɨni,transitive verb,,,,,,,,,namíkɨɨ,,
LX002054,iqu,namíkɨɨsíika,noun,,,,,,LX002055,,,namíkɨɨsíika,,
LX002055,iqu,namíkɨɨsíini,noun,,,,,,,,,namíkɨɨsíini,,personal variant (JPI): namíkɨɨsíika
LX002056,iqu,namíkuma,adverb,,,,,,,,,namíkuma,,
LX002057,iqu,namikúuna,noun,,,,,,,,,namikúuna,,
LX002058,iqu,namísaana,adjective,,,,,,,,,namísaa,,
namisu,iqu,namisu,noun,,namisuwa,,,,,,,namisu,,personal variant (ELY): samisu
LX002059,iqu,namitɨ́ɨni,transitive verb,,,,,,,,,namitɨɨ,,
namii,iqu,namii,noun,,namiiwa,,,,,,,namii,,
LX002060,iqu,namíiku,adverb,,,,,,,,,namíiku,,
LX002061,iqu,namíini,adverb,,,,,,,,,namíini,,dialect variant: iitíini
LX002062,iqu,namíini,transitive verb,,,,,,,,,nami,,
LX002063,iqu,namíini,transitive verb,,,,,,,,,námii,,
LX002064,iqu,namíini,ditransitive verb,,,,,,,,,námii,,
namiiti,iqu,namiiti,noun,,,,,,,,,namiiti,,
LX002065,iqu,námɨsi,noun,,,,,,LX000118,,,námɨsi,,
LX002066,iqu,namúriija,noun,,,,,,LX000126,,,namúriija,,
LX002067,iqu,námusi,noun,,,,,,LX000129,,,námusi,,
